,Track Name,Notes,作品
35,宇宙巫女現る, タイトル画面テーマ,紺珠伝
36,忘れがたき、よすがの緑, １面テーマ,紺珠伝
37,兎は舞い降りた, １面ボス・清蘭のテーマ,紺珠伝
38,湖は浄めの月光を映して, ２面テーマ,紺珠伝
39,九月のパンプキン, ２面ボス・鈴瑚のテーマ,紺珠伝
40,宇宙を飛ぶ不思議な巫女, ３面テーマ,紺珠伝
41,永遠の春夢, ３面ボス・ドレミー・スイートのテーマ,紺珠伝
42,凍り付いた永遠の都, ４面テーマ,紺珠伝
43,逆転するホイールオブフォーチュン, ４面ボス・稀神 サグメのテーマ,紺珠伝
44,遥か３８万キロのボヤージュ, ５面テーマ,紺珠伝
45,星条旗のピエロ, ５面ボス・クラウンピースのテーマ,紺珠伝
46,故郷の星が映る海, ６面テーマ,紺珠伝
47,ピュアヒューリーズ, ６面ボス・純狐のテーマ,紺珠伝
48,見た事も無い悪夢の世界, EXTRAのテーマ,紺珠伝
49,パンデモニックプラネット, EXTRAボス・ヘカーティア・ラピスラズリのテーマ,紺珠伝
50,神社から見える月, エンディングテーマ,紺珠伝
51,宇宙巫女帰還する, スタッフロールテーマ,紺珠伝
52,プレイヤーズスコア, ゲームオーバーテーマ　（※輝針城・神霊廟・妖精大戦争と同じ）,紺珠伝
53,華狭間のバトルフィールド, 茨木 華扇のテーマ,深秘録
54,ラストオカルティズム, 宇佐見 菫子のテーマ,深秘録
55,アンノウンX, EXTRAファイナルステージテーマ,深秘録
56,反則の狼煙を上げろ, タイトル画面テーマ,弾幕アマノジャク
57,不可能弾幕には反則を, 最序盤のテーマ,弾幕アマノジャク
58,ミッドナイトスペルカード, 序盤のテーマ,弾幕アマノジャク
59,ロマンチック逃飛行, 中盤のテーマ,弾幕アマノジャク
60,永遠の三日天下, 終盤のテーマ,弾幕アマノジャク
61,秘境のマーメイド, （※輝針城から再録）,弾幕アマノジャク
62,リバースイデオロギー, （※輝針城から再録）,弾幕アマノジャク
63,幻想浄瑠璃,  （※輝針城から再録）,弾幕アマノジャク
64,妖怪の山," （※風神録から再録）
妖怪の山は風神録からの再録とあるが、実際にはダブルスポイラーからの再録",弾幕アマノジャク
65,妖怪の山は風神録からの再録とあるが、実際にはダブルスポイラーからの再録,,弾幕アマノジャク
66,不思議なお祓い棒, タイトル画面テーマ,輝針城
67,ミストレイク, １面テーマ,輝針城
68,秘境のマーメイド, １面ボス・わかさぎ姫のテーマ,輝針城
69,運河を行き交う人妖, ２面テーマ,輝針城
70,柳の下のデュラハン, ２面ボス・赤蛮奇のテーマ,輝針城
71,満月の竹林, ３面テーマ,輝針城
72,孤独なウェアウルフ, ３面ボス・今泉 影狼のテーマ,輝針城
73,マジカルストーム, ４面テーマ,輝針城
74,幻想浄瑠璃, ４面ボス・九十九 弁々＆九十九 八橋のテーマ,輝針城
75,空中に沈む輝針城, ５面テーマ,輝針城
76,リバースイデオロギー, ５面ボス・鬼人 正邪のテーマ,輝針城
77,針小棒大の天守閣, ６面テーマ,輝針城
78,輝く針の小人族, ６面ボス・少名 針妙丸のテーマ,輝針城
79,魔力の雷雲, EXTRAのテーマ,輝針城
80,始原のビート, EXTRAボス・堀川 雷鼓のテーマ,輝針城
